1768,2430,1860,2511
1478,2436,1584,2529
1895,2442,1990,2517
231,2445,332,2517
1341,2454,1448,2541
382,2466,470,2568
1635,2523,1729,2624
782,2526,891,2627
2043,2529,2144,2618
1205,2531,1309,2630
1057,2532,1172,2633
648,2534,761,2621
524,2540,607,2660
104,2543,199,2654
1507,2543,1584,2645
243,2546,337,2636
930,2547,1037,2633
1904,2546,1993,2636
1359,2564,1439,2639
1626,2639,1715,2743
793,2645,891,2731
654,2647,755,2743
234,2648,337,2746
1060,2648,1172,2737
1205,2648,1309,2752
1774,2648,1860,2746
2037,2648,2135,2749
924,2650,1037,2740
1483,2653,1584,2761
376,2659,470,2758
95,2665,196,2767
1338,2668,1442,2755
509,2674,610,2764
1617,2746,1724,2862
933,2749,1016,2868
1075,2749,1172,2856
243,2752,332,2850
794,2755,891,2850
1762,2758,1848,2853
660,2761,758,2865
376,2764,470,2868
2040,2767,2132,2862
1356,2775,1448,2868
1489,2775,1584,2868
1202,2779,1303,2865
1898,2781,1996,2880
515,2790,610,2874
95,2793,205,2886
791,2874,891,2975
930,2880,1031,2975
1623,2880,1721,2966
1765,2880,1860,2969
1347,2886,1448,2990
234,2888,332,2984
86,2891,207,2993
1054,2891,1167,2957
1901,2891,1996,2990
666,2894,755,2981
1495,2894,1584,2981
509,2897,610,2993
1211,2898,1306,2975
2049,2900,2124,2969
367,2996,474,3100
791,2996,891,3100
89,2999,207,3109
660,2999,758,3103
2026,2999,2124,3097
1208,3002,1306,3094
1342,3002,1439,3109
509,3005,622,3103
1623,3005,1712,3097
1771,3007,1854,3100
1066,3010,1167,3088
1889,3010,1987,3109
237,3017,337,3076
1481,3022,1584,3100
